sim_time, car2?world_pose/position/y
48.001, 163.064
48.002, 163.064
48.003, 163.063
48.004, 163.063
48.005, 163.063
48.006, 163.063
48.007, 163.063
48.008, 163.063
48.009, 163.063
48.01, 163.063
48.011, 163.063
48.012, 163.063
48.013, 163.063
48.014, 163.063
48.015, 163.063
48.016, 163.063
48.017, 163.063
48.018, 163.063
48.019, 163.063
48.02, 163.063
48.021, 163.063
48.022, 163.063
48.023, 163.063
48.024, 163.063
48.025, 163.063
48.026, 163.063
48.027, 163.063
48.028, 163.062
48.029, 163.062
48.03, 163.062
48.031, 163.062
48.032, 163.062
48.033, 163.062
48.034, 163.062
48.035, 163.062
48.036, 163.062
48.037, 163.062
48.038, 163.062
48.039, 163.062
48.04, 163.062
48.041, 163.062
48.042, 163.062
48.043, 163.062
48.044, 163.062
48.045, 163.062
48.046, 163.062
48.047, 163.062
48.048, 163.062
48.049, 163.061
48.05, 163.061
48.051, 163.061
48.052, 163.061
48.053, 163.061
48.054, 163.061
48.055, 163.061
48.056, 163.061
48.057, 163.061
48.058, 163.061
48.059, 163.061
48.06, 163.061
48.061, 163.061
48.062, 163.061
48.063, 163.061
48.064, 163.061
48.065, 163.061
48.066, 163.061
48.067, 163.061
48.068, 163.061
48.069, 163.061
48.07, 163.061
48.071, 163.061
48.072, 163.061
48.073, 163.061
48.074, 163.06
48.075, 163.06
48.076, 163.06
48.077, 163.06
48.078, 163.06
48.079, 163.06
48.08, 163.06
48.081, 163.06
48.082, 163.06
48.083, 163.06
48.084, 163.06
48.085, 163.06
48.086, 163.06
48.087, 163.06
48.088, 163.06
48.089, 163.06
48.09, 163.06
48.091, 163.06
48.092, 163.06
48.093, 163.06
48.094, 163.06
48.095, 163.06
48.096, 163.059
48.097, 163.059
48.098, 163.059
48.099, 163.059
48.1, 163.059
48.101, 163.059
48.102, 163.059
48.103, 163.059
48.104, 163.059
48.105, 163.059
48.106, 163.059
48.107, 163.059
48.108, 163.059
48.109, 163.059
48.11, 163.059
48.111, 163.059
48.112, 163.059
48.113, 163.059
48.114, 163.059
48.115, 163.059
48.116, 163.059
48.117, 163.059
48.118, 163.059
48.119, 163.059
48.12, 163.059
48.121, 163.058
48.122, 163.058
48.123, 163.058
48.124, 163.058
48.125, 163.058
48.126, 163.058
48.127, 163.058
48.128, 163.058
48.129, 163.058
48.13, 163.058
48.131, 163.058
48.132, 163.058
48.133, 163.058
48.134, 163.058
48.135, 163.058
48.136, 163.058
48.137, 163.058
48.138, 163.058
48.139, 163.058
48.14, 163.058
48.141, 163.058
48.142, 163.057
48.143, 163.057
48.144, 163.057
48.145, 163.057
48.146, 163.057
48.147, 163.057
48.148, 163.057
48.149, 163.057
48.15, 163.057
48.151, 163.057
48.152, 163.057
48.153, 163.057
48.154, 163.057
48.155, 163.057
48.156, 163.057
48.157, 163.057
48.158, 163.057
48.159, 163.057
48.16, 163.057
48.161, 163.057
48.162, 163.057
48.163, 163.057
48.164, 163.057
48.165, 163.057
48.166, 163.057
48.167, 163.056
48.168, 163.056
48.169, 163.056
48.17, 163.056
48.171, 163.056
48.172, 163.056
48.173, 163.056
48.174, 163.056
48.175, 163.056
48.176, 163.056
48.177, 163.056
48.178, 163.056
48.179, 163.056
48.18, 163.056
48.181, 163.056
48.182, 163.056
48.183, 163.056
48.184, 163.056
48.185, 163.056
48.186, 163.056
48.187, 163.056
48.188, 163.055
48.189, 163.055
48.19, 163.055
48.191, 163.055
48.192, 163.055
48.193, 163.055
48.194, 163.055
48.195, 163.055
48.196, 163.055
48.197, 163.055
48.198, 163.055
48.199, 163.055
48.2, 163.055
48.201, 163.055
48.202, 163.055
48.203, 163.055
48.204, 163.055
48.205, 163.055
48.206, 163.055
48.207, 163.055
48.208, 163.055
48.209, 163.055
48.21, 163.055
48.211, 163.055
48.212, 163.055
48.213, 163.054
48.214, 163.054
48.215, 163.054
48.216, 163.054
48.217, 163.054
48.218, 163.054
48.219, 163.054
48.22, 163.054
48.221, 163.054
48.222, 163.054
48.223, 163.054
48.224, 163.054
48.225, 163.054
48.226, 163.054
48.227, 163.054
48.228, 163.054
48.229, 163.054
48.23, 163.054
48.231, 163.054
48.232, 163.054
48.233, 163.054
48.234, 163.053
48.235, 163.053
48.236, 163.053
48.237, 163.053
48.238, 163.053
48.239, 163.053
48.24, 163.053
48.241, 163.053
48.242, 163.053
48.243, 163.053
48.244, 163.053
48.245, 163.053
48.246, 163.053
48.247, 163.053
48.248, 163.053
48.249, 163.053
48.25, 163.053
48.251, 163.053
48.252, 163.053
48.253, 163.053
48.254, 163.053
48.255, 163.053
